o-o,o-j1,o-j5
2017 Volvo XC90 T8 Excellence (4 STR),"42,000 km  |  Petrol  |  Anna Road H O, Chennai",Rs. 70 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"65,000 km  |  Diesel  |  Saligramam South, Chennai",Rs. 22.5 Lakh
2018 Skoda Octavia 1.8 TSI L&K,"52,000 km  |  Petrol  |  Kolathur-Cpt, Chennai",Rs. 12.75 Lakh
2022 Mahindra XUV300 W6 1.2 Petrol AMT [2021],"40,000 km  |  Petrol  |  Kolathur-Cpt, Chennai",Rs. 9 Lakh
2018 Mercedes-Benz SLC 43 AMG,"8,900 km  |  Petrol  |  Alwarpet, Chennai",Rs. 57 Lakh
2016 Toyota Fortuner 2.8 4x4 AT [2016-2020],"94,000 km  |  Diesel  |  Ashok Nagar, Chennai",Rs. 25.75 Lakh
2019 Hyundai Venue SX (O) 1.0 Turbo,"90,000 km  |  Petrol  |  Kolathur-Cpt, Chennai",Rs. 7.45 Lakh
2020 Audi Q8 55 TFSI quattro,"44,800 km  |  Petrol  |  Alwarpet, Chennai",Rs. 76 Lakh
2018 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"30,476 km  |  Petrol  |  Koyambedu, Chennai",Rs. 3.9 Lakh
2014 Maruti Suzuki Ertiga Vxi,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.25 Lakh
2024 Renault Triber RXZ Dual Tone [2024-2025],"15,567 km  |  Petrol  |  Koyambedu, Chennai",Rs. 8 Lakh
2024 Tata Nexon Creative 1.2 Petrol 6MT Dark Edition [2023-2025],"6,000 km  |  Petrol  |  T Nagar, Chennai",Rs. 10.2 Lakh
2019 Volkswagen Polo Trendline 1.0L (P),"35,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.25 Lakh
2021 Maruti Suzuki Vitara Brezza VXi AT SHVS,"12,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 9.1 Lakh
2019 Tata Nexon XZA Plus Diesel,"40,000 km  |  Diesel  |  Goudiyamath Road, Chennai",Rs. 8.25 Lakh
2023 Hyundai Verna SX 1.5 Petrol MT,"12,500 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 13.25 Lakh
2023 Honda City Hybrid eHEV ZX eHEV,"46,034 km  |  Hybrid (Electric + Petrol)  |  Adyar, Chennai",Rs. 17 Lakh
2021 Volkswagen T-Roc 1.5 TSI,"25,230 km  |  Petrol  |  Adyar, Chennai",Rs. 19.75 Lakh
2023 Mercedes-Benz C-Class C 300d [2022-2023],"12,913 km  |  Diesel  |  Adyar, Chennai",Rs. 58 Lakh
2018 Hyundai Elite i20 Magna Executive 1.2,"57,091 km  |  Petrol  |  Koyambedu, Chennai",Rs. 5.5 Lakh
2018 Volkswagen Vento Highline Diesel AT [2015-2016],"86,838 km  |  Diesel  |  Koyambedu, Chennai",Rs. 8.5 Lakh
2022 Maruti Suzuki Ciaz Sigma Hybrid 1.5 [2018-2020],"88,545 km  |  Petrol  |  Koyambedu, Chennai",Rs. 7 Lakh
2017 BMW 7-Series 730d Sedan,"36,000 km  |  Diesel  |  Adyar, Chennai",Rs. 52 Lakh
2018 Mercedes-Benz C-Class C 220d,"22,300 km  |  Diesel  |  Adyar, Chennai",Rs. 34 Lakh
2015 Mercedes-Benz C-Class C 220d,"82,000 km  |  Diesel  |  Adyar, Chennai",Rs. 22 Lakh
2023 BMW i7 xDrive60,"9,500 km  |  Electric  |  Adyar, Chennai",Rs. 1.75 Crore
2023 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,"65,000 km  |  Diesel  |  Adyar, Chennai",Rs. 17.5 Lakh
2018 Mercedes-Benz GLS 350 d,"48,700 km  |  Diesel  |  Adyar, Chennai",Rs. 57 Lakh
2016 BMW 7-Series 730Ld,"89,000 km  |  Diesel  |  Adyar, Chennai",Rs. 35 Lakh
2013 BMW 6-Series 640d Coupe,"63,000 km  |  Diesel  |  Adyar, Chennai",Rs. 27.5 Lakh
2019 Mercedes-Benz CLA 200 D Urban Sport,"44,900 km  |  Diesel  |  Adyar, Chennai",Rs. 27.5 Lakh
2017 Audi A6 35 TDI Matrix,"43,000 km  |  Diesel  |  Adyar, Chennai",Rs. 28 Lakh
2018 Mercedes-Benz SLC 43 AMG,"8,900 km  |  Petrol  |  Alwarpet, Chennai",Rs. 57 Lakh
2016 Toyota Fortuner 2.8 4x4 AT [2016-2020],"94,000 km  |  Diesel  |  Ashok Nagar, Chennai",Rs. 25.75 Lakh
2019 Hyundai Venue SX (O) 1.0 Turbo,"90,000 km  |  Petrol  |  Kolathur-Cpt, Chennai",Rs. 7.45 Lakh
2020 Audi Q8 55 TFSI quattro,"44,800 km  |  Petrol  |  Alwarpet, Chennai",Rs. 76 Lakh
2018 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"30,476 km  |  Petrol  |  Koyambedu, Chennai",Rs. 3.9 Lakh
2014 Maruti Suzuki Ertiga Vxi,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.25 Lakh
2024 Renault Triber RXZ Dual Tone [2024-2025],"15,567 km  |  Petrol  |  Koyambedu, Chennai",Rs. 8 Lakh
2024 Tata Nexon Creative 1.2 Petrol 6MT Dark Edition [2023-2025],"6,000 km  |  Petrol  |  T Nagar, Chennai",Rs. 10.2 Lakh
2019 Volkswagen Polo Trendline 1.0L (P),"35,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.25 Lakh
2021 Maruti Suzuki Vitara Brezza VXi AT SHVS,"12,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 9.1 Lakh
2019 Tata Nexon XZA Plus Diesel,"40,000 km  |  Diesel  |  Goudiyamath Road, Chennai",Rs. 8.25 Lakh
2023 Hyundai Verna SX 1.5 Petrol MT,"12,500 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 13.25 Lakh
2023 Honda City Hybrid eHEV ZX eHEV,"46,034 km  |  Hybrid (Electric + Petrol)  |  Adyar, Chennai",Rs. 17 Lakh
2021 Volkswagen T-Roc 1.5 TSI,"25,230 km  |  Petrol  |  Adyar, Chennai",Rs. 19.75 Lakh
2023 Mercedes-Benz C-Class C 300d [2022-2023],"12,913 km  |  Diesel  |  Adyar, Chennai",Rs. 58 Lakh
2018 Hyundai Elite i20 Magna Executive 1.2,"57,091 km  |  Petrol  |  Koyambedu, Chennai",Rs. 5.5 Lakh
2018 Volkswagen Vento Highline Diesel AT [2015-2016],"86,838 km  |  Diesel  |  Koyambedu, Chennai",Rs. 8.5 Lakh
2022 Maruti Suzuki Ciaz Sigma Hybrid 1.5 [2018-2020],"88,545 km  |  Petrol  |  Koyambedu, Chennai",Rs. 7 Lakh
2017 BMW 7-Series 730d Sedan,"36,000 km  |  Diesel  |  Adyar, Chennai",Rs. 52 Lakh
2018 Mercedes-Benz C-Class C 220d,"22,300 km  |  Diesel  |  Adyar, Chennai",Rs. 34 Lakh
2017 Audi A6 35 TDI Matrix,"43,000 km  |  Diesel  |  Adyar, Chennai",Rs. 28 Lakh
2012 Audi Q5 2.0 TDI quattro,"77,000 km  |  Diesel  |  Adyar, Chennai",Rs. 17 Lakh
2024 MG Hector Plus Blackstorm 2.0 Turbo Diesel 7 STR,"12,200 km  |  Diesel  |  Adyar, Chennai",Rs. 22.5 Lakh
2014 BMW 3-Series 320d Prestige,"27,000 km  |  Diesel  |  Adyar, Chennai",Rs. 19 Lakh
2017 Mercedes-Benz GLE 250 d,"98,000 km  |  Diesel  |  Adyar, Chennai",Rs. 30 Lakh
2019 Audi A3 35 TDI Premium + Sunroof,"12,000 km  |  Diesel  |  Adyar, Chennai",Rs. 25 Lakh
2014 Maserati Quattroporte Diesel,"44,000 km  |  Diesel  |  Adyar, Chennai",Rs. 35 Lakh
2013 Toyota Prado VX L,"1,51,000 km  |  Diesel  |  Adyar, Chennai",Rs. 42 Lakh
2018 BMW 3 Series GT 320d Sport Line [2014-2016],"65,800 km  |  Diesel  |  Adyar, Chennai",Rs. 26 Lakh
2024 Mercedes-Benz GLS 450d 4MATIC,"10,000 km  |  Diesel  |  Adyar, Chennai",Rs. 1.2 Crore
2022 Mercedes-Benz S-Class S 350d,"32,200 km  |  Diesel  |  Adyar, Chennai",Rs. 1.25 Crore
2020 BMW X7 xDrive30d DPE Signature [2019-2020],"1,17,000 km  |  Diesel  |  Adyar, Chennai",Rs. 72 Lakh
2019 Mercedes-Benz E-Class E 220 d Avantgarde,"1,00,000 km  |  Diesel  |  Adyar, Chennai",Rs. 36.5 Lakh
2020 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],"61,000 km  |  Diesel  |  Adyar, Chennai",Rs. 53 Lakh
2021 Hyundai Elite i20 Sportz 1.2 IVT [2020-2023],"30,578 km  |  Petrol  |  Koyambedu, Chennai",Rs. 6.9 Lakh
2024 BMW X5 xDrive30d M Sport,"15,000 km  |  Diesel  |  Adyar, Chennai",Rs. 1.05 Crore
2015 Mercedes-Benz S-Class S 350D [2018-2020],"68,000 km  |  Diesel  |  Adyar, Chennai",Rs. 40 Lakh
2017 Volvo S90 D4 Inscription,"39,000 km  |  Diesel  |  Adyar, Chennai",Rs. 30 Lakh
2022 Jaguar F-type Coupe R-Dynamic 2.0 [2020-2023],"5,000 km  |  Petrol  |  Adyar, Chennai",Rs. 1.2 Crore
2023 Mahindra Thar LX Hard Top Petrol AT RWD [2023],"20,208 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 13.5 Lakh
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 12.5 Lakh
2019 Tata Tiago Revotron XZ,"9,950 km  |  Petrol  |  Krishnampet, Chennai",Rs. 4.46 Lakh
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.75 Lakh
2016 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"61,176 km  |  Petrol  |  Alandur, Chennai",Rs. 3.27 Lakh
2014 Maruti Suzuki Wagon R VXi,"12,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 4.1 Lakh
2013 Mercedes-Benz B-class B180,"39,000 km  |  Petrol  |  Adyar, Chennai",Rs. 12.5 Lakh
2019 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],"51,000 km  |  Diesel  |  Adyar, Chennai",Rs. 42 Lakh
2018 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"69,000 km  |  Diesel  |  Adyar, Chennai",Rs. 37.5 Lakh
2019 Volkswagen Tiguan AllSpace 2.0 TSI,"77,000 km  |  Petrol  |  Adyar, Chennai",Rs. 19.5 Lakh
2023 Honda City Hybrid eHEV ZX eHEV,"25,000 km  |  Hybrid (Electric + Petrol)  |  Adyar, Chennai",Rs. 18 Lakh
2021 Mercedes-Benz C-Coupe 43 AMG 4MATIC,"17,000 km  |  Petrol  |  Adyar, Chennai",Rs. 75 Lakh
2014 Audi Q3 2.0 TDI Base Grade,"76,000 km  |  Diesel  |  Adyar, Chennai",Rs. 14 Lakh
2015 Mercedes-Benz C-Class C 220d,"82,000 km  |  Diesel  |  Adyar, Chennai",Rs. 22 Lakh
2023 BMW i7 xDrive60,"9,500 km  |  Electric  |  Adyar, Chennai",Rs. 1.75 Crore
2023 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,"65,000 km  |  Diesel  |  Adyar, Chennai",Rs. 17.5 Lakh
2018 Mercedes-Benz GLS 350 d,"48,700 km  |  Diesel  |  Adyar, Chennai",Rs. 57 Lakh
2016 BMW 7-Series 730Ld,"89,000 km  |  Diesel  |  Adyar, Chennai",Rs. 35 Lakh
2013 BMW 6-Series 640d Coupe,"63,000 km  |  Diesel  |  Adyar, Chennai",Rs. 27.5 Lakh
2019 Mercedes-Benz CLA 200 D Urban Sport,"44,900 km  |  Diesel  |  Adyar, Chennai",Rs. 27.5 Lakh
2017 Audi A6 35 TDI Matrix,"43,000 km  |  Diesel  |  Adyar, Chennai",Rs. 28 Lakh
2012 Audi Q5 2.0 TDI quattro,"77,000 km  |  Diesel  |  Adyar, Chennai",Rs. 17 Lakh
2024 MG Hector Plus Blackstorm 2.0 Turbo Diesel 7 STR,"12,200 km  |  Diesel  |  Adyar, Chennai",Rs. 22.5 Lakh
2016 BMW 7-Series 730Ld,"89,000 km  |  Diesel  |  Adyar, Chennai",Rs. 35 Lakh
2014 BMW 3-Series 320d Prestige,"27,000 km  |  Diesel  |  Adyar, Chennai",Rs. 19 Lakh
2017 Mercedes-Benz GLE 250 d,"98,000 km  |  Diesel  |  Adyar, Chennai",Rs. 30 Lakh
2019 Audi A3 35 TDI Premium + Sunroof,"12,000 km  |  Diesel  |  Adyar, Chennai",Rs. 25 Lakh
2014 Maserati Quattroporte Diesel,"44,000 km  |  Diesel  |  Adyar, Chennai",Rs. 35 Lakh
2013 Toyota Prado VX L,"1,51,000 km  |  Diesel  |  Adyar, Chennai",Rs. 42 Lakh
2018 BMW 3 Series GT 320d Sport Line [2014-2016],"65,800 km  |  Diesel  |  Adyar, Chennai",Rs. 26 Lakh
2024 Mercedes-Benz GLS 450d 4MATIC,"10,000 km  |  Diesel  |  Adyar, Chennai",Rs. 1.2 Crore
2022 Mercedes-Benz S-Class S 350d,"32,200 km  |  Diesel  |  Adyar, Chennai",Rs. 1.25 Crore
2020 BMW X7 xDrive30d DPE Signature [2019-2020],"1,17,000 km  |  Diesel  |  Adyar, Chennai",Rs. 72 Lakh
2019 Mercedes-Benz E-Class E 220 d Avantgarde,"1,00,000 km  |  Diesel  |  Adyar, Chennai",Rs. 36.5 Lakh
2020 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],"61,000 km  |  Diesel  |  Adyar, Chennai",Rs. 53 Lakh
2021 Hyundai Elite i20 Sportz 1.2 IVT [2020-2023],"30,578 km  |  Petrol  |  Koyambedu, Chennai",Rs. 6.9 Lakh
2024 BMW X5 xDrive30d M Sport,"15,000 km  |  Diesel  |  Adyar, Chennai",Rs. 1.05 Crore
2015 Mercedes-Benz S-Class S 350D [2018-2020],"68,000 km  |  Diesel  |  Adyar, Chennai",Rs. 40 Lakh
2017 Volvo S90 D4 Inscription,"39,000 km  |  Diesel  |  Adyar, Chennai",Rs. 30 Lakh
2022 Jaguar F-type Coupe R-Dynamic 2.0 [2020-2023],"5,000 km  |  Petrol  |  Adyar, Chennai",Rs. 1.2 Crore
2023 Mahindra Thar LX Hard Top Petrol AT RWD [2023],"20,208 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 13.5 Lakh
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 12.5 Lakh
2019 Tata Tiago Revotron XZ,"9,950 km  |  Petrol  |  Krishnampet, Chennai",Rs. 4.46 Lakh
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.75 Lakh
2016 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"61,176 km  |  Petrol  |  Alandur, Chennai",Rs. 3.27 Lakh
2014 Maruti Suzuki Wagon R VXi,"12,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 4.1 Lakh
2016 Renault Kwid 1.0 RXT AMT Opt,"49,305 km  |  Petrol  |  Alandur, Chennai",Rs. 3.26 Lakh
2017 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"43,707 km  |  Petrol  |  Vadapalani, Chennai",Rs. 3.31 Lakh
2019 Ford Ecosport Titanium 1.5L TDCi [2019-2020],"40,435 km  |  Diesel  |  Alandur, Chennai",Rs. 7.31 Lakh
2018 Skoda Octavia RS,"55,000 km  |  Petrol  |  Adyar, Chennai",Rs. 28.5 Lakh
2016 Mercedes-Benz GLE Coupe 43 AMG 4Matic 2016,"45,000 km  |  Petrol  |  Adyar, Chennai",Rs. 57 Lakh
2019 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"70,000 km  |  Diesel  |  Adyar, Chennai",Rs. 38 Lakh
2022 Porsche Macan Base,"25,147 km  |  Petrol  |  Koyambedu, Chennai",Rs. 70 Lakh
2018 Mini Cooper D 3 Door,"37,983 km  |  Diesel  |  Koyambedu, Chennai",Rs. 25.5 Lakh
2025 Mahindra Thar Roxx AX7 L 2WD Diesel 2.2L Turbo Automatic,"3,877 km  |  Diesel  |  Koyambedu, Chennai",Rs. 23.95 Lakh
2022 Jeep Meridian Limited (O) 4X2 AT [2022],"28,000 km  |  Diesel  |  Koyambedu, Chennai",Rs. 24.99 Lakh
2021 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"24,297 km  |  Petrol  |  Koyambedu, Chennai",Rs. 7.99 Lakh
2016 Renault Kwid RXL [2015-2019],"72,992 km  |  Petrol  |  Vadapalani, Chennai",Rs. 2.62 Lakh
2016 Mercedes-Benz GLS 350 d,"1,47,331 km  |  Diesel  |  Koyambedu, Chennai",Rs. 32 Lakh
2021 Mercedes-Benz E-Class E 220d Exclusive,"79,000 km  |  Diesel  |  Koyambedu, Chennai",Rs. 48 Lakh
2016 Land Rover Discovery Sport HSE Luxury,"1,26,000 km  |  Diesel  |  Koyambedu, Chennai",Rs. 19.5 Lakh
2023 Toyota Innova Hyrcross ZX Hybrid (Electric + Petrol) Automatic (e-CVT) 7 STR,"25,426 km  |  Hybrid (Electric + Petrol)  |  Koyambedu, Chennai",Rs. 34 Lakh
2020 Hyundai Elantra 2.0 SX (O) AT,"1,01,505 km  |  Petrol  |  Koyambedu, Chennai",Rs. 10.9 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi Plus AGS,"73,745 km  |  Diesel  |  Alandur, Chennai",Rs. 7.38 Lakh
2019 Hyundai Verna Fluidic 1.6 VTVT SX,"24,832 km  |  Petrol  |  Sholinganallur, Chennai",Rs. 8.13 Lakh
2022 Mercedes-Benz E-Class E 220 d Avantgarde,"20,000 km  |  Diesel  |  Anna Road H O, Chennai",Rs. 58 Lakh
2020 Mahindra XUV300 W8 (O) 1.5 Diesel AMT,"17,600 km  |  Diesel  |  T Nagar, Chennai",Rs. 9.25 Lakh
2020 Kia Carnival Limousine Plus 7 STR,"48,000 km  |  Diesel  |  T Nagar, Chennai",Rs. 27.99 Lakh
2021 Toyota Innova Crysta ZX 2.4 AT 7 STR,"77,000 km  |  Diesel  |  T Nagar, Chennai",Rs. 25 Lakh
2023 Kia Sonet HTK Plus 1.0 iMT [2020-2021],"23,000 km  |  Petrol  |  T Nagar, Chennai",Rs. 8.6 Lakh
2013 Mercedes-Benz B-class B180,"39,000 km  |  Petrol  |  Adyar, Chennai",Rs. 12.5 Lakh
2019 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],"51,000 km  |  Diesel  |  Adyar, Chennai",Rs. 42 Lakh
2018 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"69,000 km  |  Diesel  |  Adyar, Chennai",Rs. 37.5 Lakh
2019 Volkswagen Tiguan AllSpace 2.0 TSI,"77,000 km  |  Petrol  |  Adyar, Chennai",Rs. 19.5 Lakh
2023 Honda City Hybrid eHEV ZX eHEV,"25,000 km  |  Hybrid (Electric + Petrol)  |  Adyar, Chennai",Rs. 18 Lakh
2021 Mercedes-Benz C-Coupe 43 AMG 4MATIC,"17,000 km  |  Petrol  |  Adyar, Chennai",Rs. 75 Lakh
2014 Audi Q3 2.0 TDI Base Grade,"76,000 km  |  Diesel  |  Adyar, Chennai",Rs. 14 Lakh
2019 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],"51,000 km  |  Diesel  |  Adyar, Chennai",Rs. 42 Lakh
2018 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"69,000 km  |  Diesel  |  Adyar, Chennai",Rs. 37.5 Lakh
2019 Volkswagen Tiguan AllSpace 2.0 TSI,"77,000 km  |  Petrol  |  Adyar, Chennai",Rs. 19.5 Lakh
2023 Honda City Hybrid eHEV ZX eHEV,"25,000 km  |  Hybrid (Electric + Petrol)  |  Adyar, Chennai",Rs. 18 Lakh
2021 Mercedes-Benz C-Coupe 43 AMG 4MATIC,"17,000 km  |  Petrol  |  Adyar, Chennai",Rs. 75 Lakh
2014 Audi Q3 2.0 TDI Base Grade,"76,000 km  |  Diesel  |  Adyar, Chennai",Rs. 14 Lakh
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"15,000 km  |  Petrol  |  Goudiyamath Road, Chennai",Rs. 6.75 Lakh
2016 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"61,176 km  |  Petrol  |  Alandur, Chennai",Rs. 3.27 Lakh
2016 Renault Kwid 1.0 RXT AMT Opt,"49,305 km  |  Petrol  |  Alandur, Chennai",Rs. 3.26 Lakh
2017 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"43,707 km  |  Petrol  |  Vadapalani, Chennai",Rs. 3.31 Lakh
2019 Ford Ecosport Titanium 1.5L TDCi [2019-2020],"40,435 km  |  Diesel  |  Alandur, Chennai",Rs. 7.31 Lakh
2018 Skoda Octavia RS,"55,000 km  |  Petrol  |  Adyar, Chennai",Rs. 28.5 Lakh
2016 Mercedes-Benz GLE Coupe 43 AMG 4Matic 2016,"45,000 km  |  Petrol  |  Adyar, Chennai",Rs. 57 Lakh
2019 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"70,000 km  |  Diesel  |  Adyar, Chennai",Rs. 38 Lakh
2022 Porsche Macan Base,"25,147 km  |  Petrol  |  Koyambedu, Chennai",Rs. 70 Lakh
2018 Mini Cooper D 3 Door,"37,983 km  |  Diesel  |  Koyambedu, Chennai",Rs. 25.5 Lakh
2025 Mahindra Thar Roxx AX7 L 2WD Diesel 2.2L Turbo Automatic,"3,877 km  |  Diesel  |  Koyambedu, Chennai",Rs. 23.95 Lakh
2022 Jeep Meridian Limited (O) 4X2 AT [2022],"28,000 km  |  Diesel  |  Koyambedu, Chennai",Rs. 24.99 Lakh
2021 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"24,297 km  |  Petrol  |  Koyambedu, Chennai",Rs. 7.99 Lakh
2016 Renault Kwid RXL [2015-2019],"72,992 km  |  Petrol  |  Vadapalani, Chennai",Rs. 2.62 Lakh
